application_mix,app_mix_label,policy,app_mix_str,num_apps,total_edges,total_nodes,sim_ticks,sim_seconds,final_tick,host_seconds,sim_insts,system.cpu.cpi,system.cpu.ipc,mem_ctrls.bw_total::total,dag_deadlines_met,node_deadlines_met,percent_dag_deadlines_met,percent_node_deadlines_met,num_forwards,num_colocations,forwards_only,percent_forwards,percent_colocations,total_dags,avg_deadline_difference,max_deadline_difference,min_deadline_difference,median_deadline_difference,avg_slowdown,max_slowdown,min_slowdown,median_slowdown,slowdown_p25,slowdown_p75
canny-gru-lstm,CGL,LAX,canny_1_deblur_0_gru_1_harris_0_lstm_1_,3,337,276,11365406875.0,0.011365,22374491250.0,37934.83,14592551.0,2.41926,0.413349,4076790608.0,1,132,33.333333333333336,47.82608695652174,29,23,6,8.605341246290802,6.824925816023739,276,-613.3333333333334,4364.0,-10521.0,4317.0,1.151292541649167,1.5455,0.36875262494750105,1.539625,0.9541888124737505,1.5425625
canny-gru-lstm,CGL,ELFD,canny_1_deblur_0_gru_1_harris_0_lstm_1_,3,337,276,11005140625.0,0.011005,22013225000.0,32195.85,13851261.0,4.500204,0.222212,4245700222.0,1,118,33.333333333333336,42.7536231884058,25,19,6,7.418397626112759,5.637982195845697,276,-1812.0,4004.0,-12381.0,2941.0,1.041759952300954,1.5005,0.25715485690286194,1.367625,0.812389928451431,1.4340625
canny-gru-lstm,CGL,LL,canny_1_deblur_0_gru_1_harris_0_lstm_1_,3,337,276,11751133125.0,0.011751,23199337500.0,22540.54,13978699.0,3.80343,0.262921,3954348871.0,1,136,33.333333333333336,49.27536231884058,1,1,0,0.2967359050445104,0.2967359050445104,276,944.6666666666666,3899.0,-4918.0,3853.0,1.2246419671606568,1.487375,0.7049259014819703,1.481625,1.0932754507409852,1.4845
canny-gru-lstm,CGL,HetSched,canny_1_deblur_0_gru_1_harris_0_lstm_1_,3,337,276,8002370625.0,0.008002,19312753125.0,35791.27,13866168.0,3.56915,0.280179,3398894812.0,2,151,66.66666666666667,54.710144927536234,79,79,0,23.44213649851632,23.44213649851632,276,-4731.333333333333,1001.0,-12063.0,-3132.0,0.6699531584368312,1.125125,0.2762344753104938,0.6085,0.4423672376552469,0.8668125
canny-gru-lstm,CGL,ELF,canny_1_deblur_0_gru_1_harris_0_lstm_1_,3,337,276,8078111250.0,0.008078,19087001250.0,38417.54,14143078.0,2.574985,0.388352,2734078712.0,1,257,33.333333333333336,93.1159420289855,230,223,7,68.24925816023739,66.17210682492582,276,-2706.0,272.0,-8589.0,199.0,0.8478484355312893,1.034,0.4846703065938681,1.024875,0.7547726532969341,1.0294375
canny-harris-lstm,CHL,FCFS,canny_1_deblur_0_gru_0_harris_1_lstm_1_,3,210,174,9335184375.0,0.009335,15485627500.0,34394.52,7227189.0,4.503626,0.222043,2575578482.0,3,174,100.0,100.0,58,41,17,27.61904761904762,19.523809523809526,174,-6592.333333333333,-1342.0,-11102.0,-7333.0,0.5753907071858563,0.83225,0.3338933221335573,0.5600287994240115,0.4469610607787844,0.6961393997120058
canny-harris-lstm,CHL,GEDF_D,canny_1_deblur_0_gru_0_harris_1_lstm_1_,3,210,174,10404473125.0,0.010404,16555331250.0,33916.43,7234633.0,4.400144,0.227265,2298258808.0,3,174,100.0,100.0,57,43,14,27.142857142857142,20.476190476190474,174,-6110.0,-1642.0,-10425.0,-6263.0,0.5978300083998319,0.79475,0.374512509749805,0.624227515449691,0.499370012599748,0.7094887577248454
canny-harris-lstm,CHL,GEDF_N,canny_1_deblur_0_gru_0_harris_1_lstm_1_,3,210,174,10581779375.0,0.010582,16732787500.0,33667.96,7245092.0,4.404456,0.227043,2402207332.0,3,174,100.0,100.0,43,27,16,20.476190476190474,12.857142857142856,174,-5855.0,-1366.0,-10113.0,-6086.0,0.6191098128037439,0.82925,0.39323213535729284,0.6348473030539389,0.5140397192056159,0.7320486515269695
canny-harris-lstm,CHL,LAX,canny_1_deblur_0_gru_0_harris_1_lstm_1_,3,210,174,10600461875.0,0.0106,16752505000.0,28806.77,7654097.0,2.456558,0.407074,2286835827.0,3,174,100.0,100.0,52,36,16,24.761904761904763,17.142857142857142,174,-5841.0,-1352.0,-10104.0,-6067.0,0.6202531349373013,0.831,0.3937721245575089,0.6359872802543949,0.5148797024059519,0.7334936401271974
canny-harris-lstm,CHL,ELFD,canny_1_deblur_0_gru_0_harris_1_lstm_1_,3,210,174,9337915000.0,0.009338,15489160000.0,24991.33,7232660.0,4.452891,0.224573,2588882422.0,3,174,100.0,100.0,57,40,17,27.142857142857142,19.047619047619047,174,-6586.666666666667,-1351.0,-11079.0,-7330.0,0.5755356967860643,0.831125,0.3352732945341093,0.5602087958240836,0.4477410451790964,0.6956668979120417
canny-harris-lstm,CHL,LL,canny_1_deblur_0_gru_0_harris_1_lstm_1_,3,210,174,10619520000.0,0.01062,16865562500.0,15238.5,7316377.0,3.798262,0.263278,2393923266.0,3,174,100.0,100.0,23,23,0,10.952380952380953,10.952380952380953,174,-5815.666666666667,-1328.0,-10071.0,-6048.0,0.6222931141377172,0.834,0.39575208495830083,0.6371272574548509,0.5164396712065759,0.7355636287274254
