application,app_instance_count,policy,app_mix_str,num_edges,num_nodes,deadline,sim_ticks,sim_seconds,final_tick,host_seconds,sim_insts,system.cpu.cpi,system.cpu.ipc,mem_ctrls.bw_total::total,dag_deadlines_met,node_deadlines_met,percent_dag_deadlines_met,percent_node_deadlines_met,num_forwards,num_colocations,forwards_only,percent_forwards,percent_colocations,total_dags
harris,2,ELF,canny_0_deblur_0_gru_0_harris_2_lstm_0_,22,18,16667,50403085000.0,0.050403,59484683125.0,33277.83,5075357.0,2.60206,0.384311,173184717.0,8,144,800.0,800.0,16,4,12,72.72727272727273,18.181818181818183,153
harris,3,FCFS,canny_0_deblur_0_gru_0_harris_3_lstm_0_,22,18,16667,50033449375.0,0.050033,63645914375.0,31862.58,7016622.0,4.240774,0.235806,190104343.0,6,120,600.0,666.6666666666666,14,3,11,63.63636363636363,13.636363636363635,154
harris,3,GEDF_D,canny_0_deblur_0_gru_0_harris_3_lstm_0_,22,18,16667,50031669375.0,0.050032,63643939375.0,31539.02,7018726.0,4.223283,0.236783,190112385.0,6,120,600.0,666.6666666666666,14,3,11,63.63636363636363,13.636363636363635,154
harris,3,GEDF_N,canny_0_deblur_0_gru_0_harris_3_lstm_0_,22,18,16667,51241638750.0,0.051242,64853908750.0,32365.91,7007262.0,4.235765,0.236085,179177174.0,1,83,100.0,461.1111111111111,15,4,11,68.18181818181817,18.181818181818183,148
harris,3,LAX,canny_0_deblur_0_gru_0_harris_3_lstm_0_,22,18,16667,51311446250.0,0.051311,64925341250.0,31815.34,7307005.0,2.584196,0.386968,168778014.0,1,83,100.0,461.1111111111111,15,4,11,68.18181818181817,18.181818181818183,148
harris,3,HetSched,canny_0_deblur_0_gru_0_harris_3_lstm_0_,22,18,16667,51232640625.0,0.051233,64846735000.0,31890.47,7056401.0,3.770438,0.265221,179238624.0,1,83,100.0,461.1111111111111,14,4,10,63.63636363636363,18.181818181818183,148
harris,3,ELF,canny_0_deblur_0_gru_0_harris_3_lstm_0_,22,18,16667,51321073125.0,0.051321,64935273125.0,32037.28,7294692.0,2.60724,0.383547,178965938.0,1,83,100.0,461.1111111111111,15,4,11,68.18181818181817,18.181818181818183,148
lstm,1,FCFS,canny_0_deblur_0_gru_0_harris_0_lstm_1_,174,144,8000,4860881875.0,0.004861,10402971875.0,33813.64,7014869.0,4.102164,0.243774,3471251603.0,1,144,100.0,100.0,87,49,38,50.0,28.160919540229884,144
lstm,1,GEDF_D,canny_0_deblur_0_gru_0_harris_0_lstm_1_,174,144,8000,4890046875.0,0.00489,10432136875.0,33487.96,7017335.0,4.081008,0.245037,3450692484.0,1,144,100.0,100.0,87,49,38,50.0,28.160919540229884,144
lstm,1,GEDF_N,canny_0_deblur_0_gru_0_harris_0_lstm_1_,174,144,8000,4949571875.0,0.00495,10491661875.0,33851.4,7022004.0,4.074425,0.245433,3515119376.0,1,144,100.0,100.0,79,41,38,45.40229885057471,23.563218390804597,144
lstm,1,LAX,canny_0_deblur_0_gru_0_harris_0_lstm_1_,174,144,8000,5031766250.0,0.005032,10574751250.0,33320.82,7341437.0,2.719977,0.36765,3327544081.0,1,144,100.0,100.0,88,42,46,50.57471264367817,24.137931034482758,144
lstm,1,HetSched,canny_0_deblur_0_gru_0_harris_0_lstm_1_,174,144,8000,4075713125.0,0.004076,9618418125.0,31713.61,7036506.0,3.487343,0.286751,3110970672.0,1,144,100.0,100.0,111,81,30,63.793103448275865,46.55172413793103,144
lstm,1,ELF,canny_0_deblur_0_gru_0_harris_0_lstm_1_,174,144,8000,3992618750.0,0.003993,9535361250.0,32035.05,7189454.0,2.814365,0.35532,2650795546.0,1,144,100.0,100.0,127,97,30,72.98850574712644,55.74712643678161,144
lstm,2,FCFS,canny_0_deblur_0_gru_0_harris_0_lstm_2_,174,144,8000,50008555000.0,0.050009,269797928125.0,263467.07,264301129.0,4.256475,0.234936,4565041641.0,0,178,0,123.61111111111111,34,9,25,19.54022988505747,5.172413793103448,1434
lstm,2,GEDF_D,canny_0_deblur_0_gru_0_harris_0_lstm_2_,174,144,8000,,,,,,,,,0,0,0,0.0,0,0,0,0.0,0.0,1353
lstm,2,GEDF_N,canny_0_deblur_0_gru_0_harris_0_lstm_2_,174,144,8000,,,,,,,,,0,0,0,0.0,0,0,0,0.0,0.0,1278
lstm,2,LAX,canny_0_deblur_0_gru_0_harris_0_lstm_2_,174,144,8000,,,,,,,,,0,0,0,0.0,0,0,0,0.0,0.0,1002
lstm,2,HetSched,canny_0_deblur_0_gru_0_harris_0_lstm_2_,174,144,8000,50004888125.0,0.050005,269796838125.0,309691.46,265267364.0,3.567714,0.280292,4043406306.0,0,581,0,403.47222222222223,90,81,9,51.724137931034484,46.55172413793103,1842
lstm,2,ELF,canny_0_deblur_0_gru_0_harris_0_lstm_2_,174,144,8000,,,,,,,,,0,0,0,0.0,0,0,0,0.0,0.0,991
lstm,3,FCFS,canny_0_deblur_0_gru_0_harris_0_lstm_3_,174,144,8000,50011694375.0,0.050012,379636057500.0,251587.19,394856398.0,4.263827,0.234531,4745144250.0,0,125,0,86.80555555555556,15,0,15,8.620689655172415,0.0,1373
lstm,3,GEDF_D,canny_0_deblur_0_gru_0_harris_0_lstm_3_,174,144,8000,50003861250.0,0.050004,379629484375.0,251367.25,394899092.0,4.218775,0.237036,4719874868.0,0,125,0,86.80555555555556,16,0,16,9.195402298850574,0.0,1378
lstm,3,GEDF_N,canny_0_deblur_0_gru_0_harris_0_lstm_3_,174,144,8000,50009020625.0,0.050009,379634643750.0,251904.12,394948150.0,4.178339,0.23933,4789908321.0,0,126,0,87.5,8,0,8,4.597701149425287,0.0,1396
lstm,3,LAX,canny_0_deblur_0_gru_0_harris_0_lstm_3_,174,144,8000,50003883125.0,0.050004,379627896250.0,245030.07,398492575.0,2.428238,0.411821,4511883836.0,0,126,0,87.5,24,0,24,13.793103448275861,0.0,1335
lstm,3,HetSched,canny_0_deblur_0_gru_0_harris_0_lstm_3_,174,144,8000,50002990000.0,0.050003,379629303125.0,302678.46,395935221.0,3.556646,0.281164,4143626771.0,0,182,0,126.38888888888889,85,76,9,48.85057471264368,43.67816091954023,1855
lstm,3,ELF,canny_0_deblur_0_gru_0_harris_0_lstm_3_,174,144,8000,,,,,,,,,0,0,0,0.0,0,0,0,0.0,0.0,1082
