experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,time_moving_memory,total_energy
52,2025-12-01 20:38:10,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,LL,single_harris,"[[0,0,0,1,0]]",[],4058.01,1.0,1,4058.01,196608,835584,410492,1,0,5.25,4058.01,1,16000,0,3,13,0,0.001295
53,2025-12-01 20:38:11,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,LL,single_lstm,"[[0,0,0,0,1]]",[],7146.0,1.0,1,7146.0,7077888,1572864,7602176,0,1,9.6,7146.0,1,16000,0,108,24,0,0.001343
54,2025-12-01 20:38:12,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,LL,mixed_balanced,"[[1,1,1,1,1]]",[],12977.3876,3.0,5,64886.94,12845056,3424256,18533400,2,3,169.12,24509.0,5,16000,0,196,53,0,0.0069
55,2025-12-01 20:38:13,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,LL,mixed_vision_heavy,"[[2,2,0,2,0]]",[],17419.146,3.5,6,104514.88,720896,4227072,3840048,4,2,318.41,31059.0,6,16000,0,11,66,0,0.010252
56,2025-12-01 20:38:15,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,LL,mixed_ml_heavy,"[[0,0,2,0,2]]",[],49519.75,2.5,4,198079.0,18743296,2621440,39452672,0,4,609.77,58751.0,4,16000,0,286,40,0,0.010379
57,2025-12-01 20:38:16,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,single_canny,"[[1,0,0,0,0]]",[],4209.928,1.0,1,4209.93,196608,573440,148144,1,0,4.44,4209.93,1,16000,0,3,9,0,0.001055
58,2025-12-01 20:38:17,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,single_deblur,"[[0,1,0,0,0]]",[],15756.0,1.0,1,15756.0,0,1687552,345580,1,0,66.16,15756.0,1,16000,0,0,26,0,0.004199
59,2025-12-01 20:38:17,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,single_gru,"[[0,0,1,0,0]]",[],2837.0,1.0,1,2837.0,6750208,1441792,5963776,1,0,1.7,2837.0,1,16000,0,103,22,0,0.0006
60,2025-12-01 20:38:18,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,single_harris,"[[0,0,0,1,0]]",[],5294.01,1.0,1,5294.01,262144,901120,279420,1,0,7.95,5294.01,1,16000,0,4,14,0,0.001502
61,2025-12-01 20:38:19,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,single_lstm,"[[0,0,0,0,1]]",[],7453.0,1.0,1,7453.0,2031616,2031616,12189696,0,1,10.4,7453.0,1,16000,0,31,31,0,0.001395
62,2025-12-01 20:38:20,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,mixed_balanced,"[[1,1,1,1,1]]",[],31480.7876,3.0,5,157403.94,7077888,3751936,23972888,0,5,413.59,42046.0,5,16000,0,108,58,0,0.009837
63,2025-12-01 20:38:21,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,mixed_vision_heavy,"[[2,2,0,2,0]]",[],19520.479333,3.5,6,117122.88,786432,3833856,4167728,3,3,366.43,34069.0,6,16000,0,12,60,0,0.010756
64,2025-12-01 20:38:24,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,mixed_ml_heavy,"[[0,0,2,0,2]]",[],74247.0,2.5,4,296988.0,4063232,1376256,55377920,0,4,1165.0,81817.0,4,16000,0,62,21,0,0.014239
65,2025-12-01 20:38:24,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,single_canny,"[[1,0,0,0,0]]",[],4209.928,1.0,1,4209.93,196608,573440,148144,1,0,4.44,4209.93,1,16000,0,3,9,0,0.001055
66,2025-12-01 20:38:25,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,single_deblur,"[[0,1,0,0,0]]",[],15756.0,1.0,1,15756.0,0,1687552,345580,1,0,66.16,15756.0,1,16000,0,0,26,0,0.004199
67,2025-12-01 20:38:26,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,single_gru,"[[0,0,1,0,0]]",[],2837.0,1.0,1,2837.0,6750208,1441792,5963776,1,0,1.7,2837.0,1,16000,0,103,22,0,0.0006
68,2025-12-01 20:38:26,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,single_harris,"[[0,0,0,1,0]]",[],4058.01,1.0,1,4058.01,196608,835584,410492,1,0,5.25,4058.01,1,16000,0,3,13,0,0.001295
69,2025-12-01 20:38:27,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,single_lstm,"[[0,0,0,0,1]]",[],21014.0,1.0,1,21014.0,5242880,1900544,9109504,0,1,77.02,21014.0,1,16000,0,80,29,0,0.003665
