experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,task_runtime_variance,time_moving_memory,total_energy
48,2025-12-04 14:33:39,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,mixed_ml_heavy,"[[0,0,2,0,2]]",[],20508.0,2.5,4,82032.0,5242880,0,55574528,0,4,91.92,21867.0,4,5280,0,80,0,2393660,0,0.004204
49,2025-12-04 14:33:39,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,RELIEF,single_canny,"[[1,0,0,0,0]]",[],3269.0,1.0,1,3269.0,196608,704512,17072,1,0,3.08,3269.0,1,5280,11,3,11,,0,0.000943
50,2025-12-04 14:33:40,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,RELIEF,single_deblur,"[[0,1,0,0,0]]",[],16700.0,1.0,1,16700.0,0,1687552,345580,0,1,73.9,16700.0,1,5280,22,0,26,,0,0.004425
51,2025-12-04 14:33:41,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,RELIEF,single_gru,"[[0,0,1,0,0]]",[],2023.0,1.0,1,2023.0,7274496,2031616,4849664,1,0,0.94,2023.0,1,5280,120,111,31,,0,0.000466
52,2025-12-04 14:33:41,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,RELIEF,single_harris,"[[0,0,0,1,0]]",[],4039.0,1.0,1,4039.0,262144,901120,279420,1,0,5.26,4039.0,1,5280,17,4,14,,0,0.001303
53,2025-12-04 14:33:42,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,RELIEF,single_lstm,"[[0,0,0,0,1]]",[],3509.0,1.0,1,3509.0,7602176,1048576,7602176,1,0,2.58,3509.0,1,5280,128,116,16,,0,0.000736
54,2025-12-04 14:33:43,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,RELIEF,mixed_balanced,"[[1,1,1,1,1]]",[],7916.0,2.8,5,39580.0,15138816,5013504,14650392,4,1,104.54,18072.0,5,5280,279,231,77,29436315,0,0.005785
55,2025-12-04 14:33:44,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,RELIEF,mixed_vision_heavy,"[[2,2,0,2,0]]",[],15154.333333,3.0,6,90926.0,851968,3145728,4790320,4,2,295.52,29367.0,6,5280,72,13,49,77000689,0,0.010063
56,2025-12-04 14:33:45,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,RELIEF,mixed_ml_heavy,"[[0,0,2,0,2]]",[],26377.25,2.5,4,105509.0,12124160,1114112,47579136,0,4,131.1,26413.0,4,5280,173,185,17,1033,0,0.004964
57,2025-12-04 14:33:46,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,LL,single_canny,"[[1,0,0,0,0]]",[],3269.0,1.0,1,3269.0,196608,704512,17072,1,0,3.08,3269.0,1,5280,0,3,11,,0,0.000943
58,2025-12-04 14:33:46,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,LL,single_deblur,"[[0,1,0,0,0]]",[],16700.0,1.0,1,16700.0,0,1687552,345580,0,1,73.9,16700.0,1,5280,0,0,26,,0,0.004425
59,2025-12-04 14:33:47,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,LL,single_gru,"[[0,0,1,0,0]]",[],2023.0,1.0,1,2023.0,7274496,2031616,4849664,1,0,0.94,2023.0,1,5280,0,111,31,,0,0.000466
60,2025-12-04 14:33:48,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,LL,single_harris,"[[0,0,0,1,0]]",[],4039.0,1.0,1,4039.0,262144,901120,279420,1,0,5.26,4039.0,1,5280,0,4,14,,0,0.001303
61,2025-12-04 14:33:48,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,LL,single_lstm,"[[0,0,0,0,1]]",[],7745.0,1.0,1,7745.0,4325376,1114112,10813440,0,1,11.2,7745.0,1,5280,0,66,17,,0,0.001446
62,2025-12-04 14:33:49,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,LL,mixed_balanced,"[[1,1,1,1,1]]",[],9124.8,2.8,5,45624.0,11796480,4685824,18320408,3,2,105.75,18241.0,5,5280,0,180,72,18647438,0,0.005798
63,2025-12-04 14:33:50,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,LL,mixed_vision_heavy,"[[2,2,0,2,0]]",[],14260.666667,3.0,6,85564.0,851968,3604480,4331568,4,2,336.41,31984.0,6,5280,0,13,56,75285596,0,0.010518
64,2025-12-04 14:33:52,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,LL,mixed_ml_heavy,"[[0,0,2,0,2]]",[],30531.25,2.5,4,122125.0,3735552,1769472,55312384,0,4,172.98,30567.0,4,5280,0,57,27,1033,0,0.005659
65,2025-12-04 14:33:52,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,single_canny,"[[1,0,0,0,0]]",[],3269.0,1.0,1,3269.0,196608,704512,17072,1,0,3.08,3269.0,1,5280,0,3,11,,0,0.000943
66,2025-12-04 14:33:53,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,single_deblur,"[[0,1,0,0,0]]",[],16700.0,1.0,1,16700.0,0,1687552,345580,0,1,73.9,16700.0,1,5280,0,0,26,,0,0.004425
67,2025-12-04 14:33:54,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,single_gru,"[[0,0,1,0,0]]",[],2390.0,1.0,1,2390.0,6619136,1638400,5898240,1,0,1.26,2390.0,1,5280,0,101,25,,0,0.000528
68,2025-12-04 14:33:54,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,single_harris,"[[0,0,0,1,0]]",[],4039.0,1.0,1,4039.0,196608,901120,344956,1,0,5.26,4039.0,1,5280,0,3,14,,0,0.001303
69,2025-12-04 14:33:55,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,single_lstm,"[[0,0,0,0,1]]",[],6988.0,1.0,1,6988.0,4128768,1572864,10551296,1,0,9.21,6988.0,1,5280,0,63,24,,0,0.001318
70,2025-12-04 14:33:56,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,mixed_balanced,"[[1,1,1,1,1]]",[],8310.2,2.8,5,41551.0,11075584,5144576,18582552,4,1,118.65,19492.0,5,5280,0,169,79,32825328,0,0.006087
71,2025-12-04 14:33:57,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,mixed_vision_heavy,"[[2,2,0,2,0]]",[],13065.166667,3.0,6,78391.0,458752,3604480,4724784,4,2,288.11,28926.0,6,5280,0,7,56,86346527,0,0.00996
72,2025-12-04 14:33:58,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_D,mixed_ml_heavy,"[[0,0,2,0,2]]",[],30178.25,2.5,4,120713.0,3407872,2621440,54788096,0,4,189.75,32081.0,4,5280,0,52,40,4713503,0,0.005915
73,2025-12-04 14:33:59,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,single_canny,"[[1,0,0,0,0]]",[],3269.0,1.0,1,3269.0,196608,704512,17072,1,0,3.08,3269.0,1,5280,0,3,11,,0,0.000943
74,2025-12-04 14:34:00,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,single_deblur,"[[0,1,0,0,0]]",[],16700.0,1.0,1,16700.0,0,1687552,345580,0,1,73.9,16700.0,1,5280,0,0,26,,0,0.004425
75,2025-12-04 14:34:00,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,single_gru,"[[0,0,1,0,0]]",[],2023.0,1.0,1,2023.0,7274496,2031616,4849664,1,0,0.94,2023.0,1,5280,0,111,31,,0,0.000466
76,2025-12-04 14:34:01,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,single_harris,"[[0,0,0,1,0]]",[],4039.0,1.0,1,4039.0,262144,901120,279420,1,0,5.26,4039.0,1,5280,0,4,14,,0,0.001303
77,2025-12-04 14:34:01,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,single_lstm,"[[0,0,0,0,1]]",[],7745.0,1.0,1,7745.0,4325376,1114112,10813440,0,1,11.2,7745.0,1,5280,0,66,17,,0,0.001446
78,2025-12-04 14:34:02,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,mixed_balanced,"[[1,1,1,1,1]]",[],9097.8,2.8,5,45489.0,11534336,5931008,20483096,3,2,114.85,19184.0,5,5280,0,176,91,27921548,0,0.005987
79,2025-12-04 14:34:03,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,mixed_vision_heavy,"[[2,2,0,2,0]]",[],15070.5,3.0,6,90423.0,917504,3145728,4724784,4,2,305.35,30214.0,6,5280,0,14,49,96834713,0,0.010106
80,2025-12-04 14:34:05,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,GEDF_N,mixed_ml_heavy,"[[0,0,2,0,2]]",[],30708.75,2.5,4,122835.0,3538944,1769472,55508992,0,4,174.9,30743.0,4,5280,0,54,27,1002,0,0.005689
81,2025-12-04 14:34:05,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,single_canny,"[[1,0,0,0,0]]",[],3281.0,1.0,1,3281.0,262144,638976,17072,1,0,3.11,3281.0,1,5280,0,4,10,,0,0.000946
82,2025-12-04 14:34:06,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,single_deblur,"[[0,1,0,0,0]]",[],16700.0,1.0,1,16700.0,0,1687552,345580,0,1,73.9,16700.0,1,5280,0,0,26,,0,0.004425
83,2025-12-04 14:34:07,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,HetSched,single_gru,"[[0,0,1,0,0]]",[],2398.0,1.0,1,2398.0,6750208,1507328,5898240,1,0,1.27,2398.0,1,5280,0,103,23,,0,0.000528
