app_mix_label,app_mix_list,app_mix_str,application,application_mix,avg_deadline_difference,avg_slowdown,dag_deadlines_met,deadline,final_tick,forwards_only,host_seconds,max_deadline_difference,max_slowdown,median_deadline_difference,median_slowdown,mem_ctrls.bw_total::total,min_deadline_difference,min_slowdown,node_deadlines_met,num_apps,num_colocations,num_edges,num_forwards,num_nodes,percent_colocations,percent_dag_deadlines_met,percent_forwards,percent_node_deadlines_met,policy,sim_insts,sim_seconds,sim_ticks,slowdown_p25,slowdown_p75,system.cpu.cpi,system.cpu.ipc,total_dags,total_edges,total_nodes
CG,"[1, 0, 1, 0, 0]",canny_1_deblur_0_gru_1_harris_0_lstm_0_,,canny-gru,,,2,,9360650000.0,7,21984.73,,,,,2574396599.0,,,132,2,107,,114,,65.6441717791411,100.0,69.93865030674846,100.0,ELF,6978825.0,0.004122,4121640000.0,,,2.600022,0.384612,132,163.0,132.0
CH,"[1, 0, 0, 1, 0]",canny_1_deblur_0_gru_0_harris_1_lstm_0_,,canny-harris,,,2,,9731224375.0,19,8421.79,,,,,217681914.0,,,30,2,4,,23,,11.111111111111109,100.0,63.88888888888889,100.0,FCFS,235929.0,0.009353,9353151875.0,,,4.639867,0.215523,30,36.0,30.0
CH,"[1, 0, 0, 1, 0]",canny_1_deblur_0_gru_0_harris_1_lstm_0_,,canny-harris,,,2,,9729339375.0,19,8457.43,,,,,217735340.0,,,30,2,4,,23,,11.111111111111109,100.0,63.88888888888889,100.0,GEDF_D,236309.0,0.009351,9350856875.0,,,4.630991000000001,0.215937,30,36.0,30.0
CH,"[1, 0, 0, 1, 0]",canny_1_deblur_0_gru_0_harris_1_lstm_0_,,canny-harris,,,2,,9594418125.0,19,8519.02,,,,,220923464.0,,,30,2,4,,23,,11.111111111111109,100.0,63.88888888888889,100.0,GEDF_N,236214.0,0.009216,9215915625.0,,,4.642821,0.21538600000000002,30,36.0,30.0
CH,"[1, 0, 0, 1, 0]",canny_1_deblur_0_gru_0_harris_1_lstm_0_,,canny-harris,,,2,,10194461250.0,23,5681.96,,,,,180704286.0,,,30,2,4,,27,,11.111111111111109,100.0,75.0,100.0,LAX,300148.0,0.009815,9814996875.0,,,2.64205,0.378494,30,36.0,30.0
CH,"[1, 0, 0, 1, 0]",canny_1_deblur_0_gru_0_harris_1_lstm_0_,,canny-harris,,,2,,9571722500.0,14,4923.44,,,,,164387231.0,,,30,2,4,,18,,11.111111111111109,100.0,50.0,100.0,HetSched,246543.0,0.009192,9192222500.0,,,3.938507,0.25390300000000005,30,36.0,30.0
CH,"[1, 0, 0, 1, 0]",canny_1_deblur_0_gru_0_harris_1_lstm_0_,,canny-harris,,,2,,10167287500.0,22,5466.1,,,,,154469776.0,,,30,2,7,,29,,19.44444444444445,100.0,80.55555555555556,100.0,ELF,291652.0,0.009788,9788193125.0,,,2.744691,0.36434,30,36.0,30.0
CL,"[1, 0, 0, 0, 1]",canny_1_deblur_0_gru_0_harris_0_lstm_1_,,canny-lstm,,,2,,11460521250.0,6,26753.14,,,,,4087002115.0,,,156,2,40,,46,,21.27659574468085,100.0,24.46808510638298,100.0,FCFS,7083598.0,0.005536,5536376875.0,,,4.496274,0.222406,156,188.0,156.0
CL,"[1, 0, 0, 0, 1]",canny_1_deblur_0_gru_0_harris_0_lstm_1_,,canny-lstm,,,2,,12093440000.0,6,26704.46,,,,,3604003010.0,,,156,2,43,,49,,22.872340425531913,100.0,26.06382978723405,100.0,GEDF_D,7089200.0,0.006169,6169295625.0,,,4.39968,0.227289,156,188.0,156.0
CL,"[1, 0, 0, 0, 1]",canny_1_deblur_0_gru_0_harris_0_lstm_1_,,canny-lstm,,,2,,12396750000.0,7,27201.58,,,,,3698390631.0,,,156,2,26,,33,,13.829787234042554,100.0,17.553191489361698,100.0,GEDF_N,7099828.0,0.0064730000000000005,6472605625.0,,,4.416361,0.226431,156,188.0,156.0
